STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Covington,9,42,Other eastern hard hardwoods,Hardwood,3,0,132101,6814010.256,10898620.62,,,,,29839208.79,,,,,,,,,,,,
Georgia,13,Baldwin,9,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,7162834.969,5022795.476,,12855230.41,,,,,,,,,,,,,,,
Georgia,13,Covington,9,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,7162834.969,5022795.476,,12855230.41,,,,,,,,,,,,,,,
Georgia,13,Banks,11,1,Longleaf and slash pines,Softwood,4,0,132101,6507857.562,3298634.865,,,,,,,,,,,,,,,,,
Georgia,13,Banks,11,2,Loblolly and shortleaf pines,Softwood,4,0,132101,2222774.022,11558713.03,38758625.38,49828437.53,71365776.97,,,58897327.96,,,,,,,,,,,
Georgia,13,Banks,11,3,Other yellow pines,Softwood,4,0,132101,,5693111.909,56755995.52,33314116.06,,,,,,,,,,,,,,,
Georgia,13,Banks,11,9,Other eastern softwoods,Softwood,4,0,132101,2975602.72,,,,,,,,,,,,,,,,,,
Georgia,13,Banks,11,25,Select white oaks,Hardwood,4,0,132101,4232771.854,23519323.66,7878658.474,31797624.46,75086151.66,109347959.4,162549016.6,,,116324099.9,,,,,,,,,
Georgia,13,Banks,11,27,Other white oaks,Hardwood,4,0,132101,2741538.698,7575319.092,37007337.61,81672290.09,33623984.75,,,,,,,,,,,,,,
Georgia,13,Banks,11,28,Other red oaks,Hardwood,4,0,132101,14313575.02,19711272.14,32581397.87,123281247.5,,,53087724.9,,,,103905728.8,,,,,226767455,,,
Georgia,13,Banks,11,29,Hickory,Hardwood,4,0,132101,11219783.04,37913240.8,42359049.05,80430927.53,197241568,52655691.09,49844638.8,,,95875165.61,,,,,,,,,
Georgia,13,Banks,11,31,Hard maple,Hardwood,4,0,132101,2521971.877,,,,,,,,,,,,,,,,,,
Georgia,13,Banks,11,32,Soft maple,Hardwood,4,0,132101,21659516.52,8304370.348,10165209.9,,14504045.07,,,,,,,,,,,,,,
Georgia,13,Banks,11,33,Beech,Hardwood,4,0,132101,3029382.993,23154310.31,,10520180.25,21016589.71,,60699232.91,,40994758.31,,,,,,,,,,
Georgia,13,Banks,11,34,Sweetgum,Hardwood,4,0,132101,40114562.92,,15833962.14,18794449.72,26753577.28,70075282.12,,63299524.66,,,,,,,,,,,
Georgia,13,Banks,11,35,Tupelo and blackgum,Hardwood,4,0,132101,2288932.085,11356013.76,,,,,,,,,,,,,,,,,
Georgia,13,Banks,11,36,Ash,Hardwood,4,0,132101,3300797.105,31805448.06,15945786.75,40310796.7,,,,,,,,,,,,,,,
Georgia,13,Banks,11,39,Yellow-poplar,Hardwood,4,0,132101,47027638.03,120054000.2,88704100.44,64466765.9,207044796,34047195.44,61738917.74,,,75778422.06,111346239.7,,,177438714.2,,,,,
Georgia,13,Banks,11,40,Black walnut,Hardwood,4,0,132101,,,,,23039358.56,,,,,,,,,,,,,,
